0000,3250
0001,5386
0002,2365
0003,6120
0004,4861
0005,3176
0006,6128
0007,5214
0008,8152
0009,5803
0010,6715
0011,5037
0012,0347
0013,4615
0014,6453
0015,2654
0016,0832
0017,6451
0018,0175
0019,4680
0020,2840
0021,1468
0022,8673
0023,7215
0024,0537
0025,0754
0026,8165
0027,6354
0028,0764
0029,2175
0030,8324
0031,3081
0032,4082
0033,7625
0034,0143
0035,1820
0036,0134
0037,3061
0038,3804
0039,7153
0040,8641
0041,1836
0042,4086
0043,3410
0044,7465
0045,3217
0046,6502
0047,8352
0048,2017
0049,8567
0050,3502
0051,5740
0052,0241
0053,0162
0054,4586
0055,1087
0056,4168
0057,6851
0058,5748
0059,2401
0060,5483
0061,1865
0062,1563
0063,1327
0064,5680
0065,4803
0066,2713
0067,2876
0068,0461
0069,6752
0070,8246
0071,8645
0072,0346
0073,7241
0074,4316
0075,6182
0076,1025
0077,8072
0078,8163
0079,6518
0080,0824
0081,2634
0082,0486
0083,3128
0084,0673
0085,7014
0086,1037
0087,2635
0088,6432
0089,1235
0090,6708
0091,3657
0092,5418
0093,7508
0094,5083
0095,0318
0096,3278
0097,3625
0098,7214
0099,8504
